video_id,total_views,total_rows,days_sience_upload_to_last_views,avg_views_per_day,video_upload_date,last_count_date,stdev_video,max_video_count,max_count_date,is_weekend_max_count,days_sience_upload_to_max_views_date,min_video_count,min_count_date,is_weekend_min_count,days_sience_upload_to_min_views_date,upload_weekday,is_weekend_upload,avg_daily_delta,trend_slope
23,7332,117,120,61.1,29/10/2017,26/02/2018,17.31,112,06/11/2017,0,8,30,25/02/2018,1,119,1,1,-0.31,-0.35
46,10729,120,120,89.41,12/09/2017,10/01/2018,21.42,147,19/09/2017,0,7,54,02/01/2018,0,112,3,0,-0.23,-0.3
69,12152,120,120,101.27,14/09/2017,12/01/2018,22.21,159,01/10/2017,1,17,57,07/01/2018,1,115,5,0,0.03,-0.32
92,5808,118,120,48.4,30/10/2017,27/02/2018,16.12,94,30/10/2017,0,0,23,05/02/2018,0,98,2,0,-0.5,-0.35
29,5555,119,120,46.29,20/10/2017,17/02/2018,15.11,82,23/10/2017,0,3,22,02/02/2018,0,105,6,0,-0.25,-0.34
75,10153,117,120,84.61,20/09/2017,18/01/2018,21.97,140,25/09/2017,0,5,53,01/01/2018,0,103,4,0,-0.4,-0.41
9,11715,121,120,97.63,17/09/2017,15/01/2018,23.75,154,18/09/2017,0,1,55,02/01/2018,0,107,1,1,-0.47,-0.43
15,11028,120,120,91.9,24/10/2017,21/02/2018,22.17,151,25/10/2017,0,1,47,19/02/2018,0,118,3,0,-0.59,-0.33
89,12609,121,120,105.08,26/09/2017,24/01/2018,25.36,167,26/09/2017,0,0,60,12/01/2018,0,108,3,0,-0.66,-0.38
3,3454,119,120,28.78,06/10/2017,03/02/2018,13.19,60,20/10/2017,0,14,6,31/01/2018,0,117,6,0,-0.35,-0.33
52,14225,118,120,118.54,22/10/2017,19/02/2018,26.04,181,11/11/2017,1,20,73,19/01/2018,0,89,1,1,-0.25,-0.32
95,12216,119,120,101.8,03/10/2017,31/01/2018,24.28,155,05/10/2017,0,2,58,09/01/2018,0,98,3,0,-0.6,-0.45
