video_id,video_category
23,Everything else
46,Good
69,Good
92,Everything else
29,Everything else
75,Good
9,Good
15,Good
89,Good
3,Everything else
52,Top
95,Good
72,Everything else
66,Everything else
78,Everything else
32,Everything else
26,Good
12,Everything else
35,Everything else
86,Good
63,Everything else
6,Everything else
43,Good
55,Everything else
98,Everything else
49,Everything else
67,Everything else
21,Good
27,Everything else
58,Everything else
81,Everything else
64,Everything else
38,Everything else
87,Everything else
7,Good
44,Top
1,Top
50,Good
24,Good
47,Everything else
70,Good
93,Top
18,Good
30,Everything else
84,Top
10,Everything else
61,Everything else
41,Everything else
90,Good
4,Top
96,Good
65,Everything else
79,Everything else
19,Everything else
73,Everything else
25,Everything else
36,Good
85,Good
13,Good
62,Good
42,Everything else
5,Good
56,Everything else
99,Good
22,Good
76,Everything else
59,Good
82,Top
33,Good
39,Everything else
16,Good
88,Good
53,Good
45,Good
2,Everything else
48,Everything else
71,Everything else
94,Good
77,Everything else
17,Good
31,Everything else
60,Everything else
83,Good
34,Good
40,Everything else
11,Everything else
54,Good
91,Good
97,Everything else
20,Good
68,Everything else
80,Everything else
28,Everything else
74,Top
57,Top
14,Everything else
37,Everything else
8,Good
51,Top
100,Good
